Title,Artist1,Artist2,Artist3,Artist4,Artist5,Artist6,Artist7,Artist8,Artist9,ArtistA,ArtistB,Words1,Words2,Words3,Words4,Words5,Music1,Music2,Music3,Music4,Arrangement1,Arrangement2,Arrangement3,Album,Year,TrackNum,TotalTracks,YouTube,Length
The Carpenter’s Son,Kenneth Cope,,,,,,,,,,,Kenneth Cope,,,,,Kenneth Cope,,,,,,,EFY 1996: Living the Legacy (1996),1996,9,11,,
Mercy’s Arms,Marla Bulleigh,,,,,,,,,,,Julie de Azevedo,,,,,Julie de Azevedo,,,,,,,EFY 1996: Living the Legacy (1996),1996,10,11,,
Taking It Home with Me,Peter Breinholt,Rachel de Azevedo,David Brooks,Cast,,,,,,,,Vickey Pahnke Taylor,Steve James,,,,Vickey Pahnke Taylor,Steve James,,,,,,EFY 1996: Living the Legacy (1996),1996,11,11,,
Treasure the Truth,Kenneth Cope,,,,,,,,,,,Kenneth Cope,,,,,Kenneth Cope,,,,,,,EFY 1997: Treasure the Truth (1997),1997,1,11,,
Shine on Me,Julie de Azevedo,,,,,,,,,,,Julie de Azevedo,Greg Simpson,,,,Julie de Azevedo,Greg Simpson,,,,,,EFY 1997: Treasure the Truth (1997),1997,2,11,,
Hurricane,Brett Raymond,,,,,,,,,,,Kenneth Cope,Celia Crane,,,,Kenneth Cope,Celia Crane,,,,,,EFY 1997: Treasure the Truth (1997),1997,3,11,,
Keeper of the Flame,Katherine Nelson,,,,,,,,,,,Julie de Azevedo,,,,,Julie de Azevedo,,,,,,,EFY 1997: Treasure the Truth (1997),1997,4,11,,
Best of Me,Greg Simpson,,,,,,,,,,,Greg Simpson,,,,,Greg Simpson,,,,,,,EFY 1997: Treasure the Truth (1997),1997,5,11,,
The Pearl,Kenneth Cope,,,,,,,,,,,Kenneth Cope,,,,,Kenneth Cope,,,,,,,EFY 1997: Treasure the Truth (1997),1997,6,11,,
Window to His Love,Julie de Azevedo,,,,,,,,,,,Julie de Azevedo,,,,,Julie de Azevedo,,,,,,,EFY 1997: Treasure the Truth (1997),1997,7,11,,
Free,Brett Raymond,,,,,,,,,,,Clive Romney,,,,,Clive Romney,,,,,,,EFY 1997: Treasure the Truth (1997),1997,8,11,,
His Hands,Jenny Jordan Frogley,,,,,,,,,,,Kenneth Cope,,,,,Kenneth Cope,,,,,,,EFY 1997: Treasure the Truth (1997),1997,9,11,,
More Than the Gold,Michael Webb,,,,,,,,,,,Kenneth Cope,Greg Simpson,,,,Kenneth Cope,Greg Simpson,,,,,,EFY 1997: Treasure the Truth (1997),1997,10,11,,
Taking It Home with Me,Katherine Nelson,Greg Simpson,,,,,,,,,,Vickey Pahnke Taylor,Steve James,,,,Vickey Pahnke Taylor,Steve James,,,,,,EFY 1997: Treasure the Truth (1997),1997,11,11,,
Joy in the Journey,Julie de Azevedo,,,,,,,,,,,Tyler Castleton,Staci Peters,Julie de Azevedo,,,Tyler Castleton,Staci Peters,Julie de Azevedo,,,,,EFY 1998: Joy in the Journey (1998),1998,1,12,,
Anchor of My Soul,Jenny Jordan Frogley,,,,,,,,,,,Tyler Castleton,Staci Peters,,,,Tyler Castleton,Staci Peters,,,,,,EFY 1998: Joy in the Journey (1998),1998,2,12,,
